"Name","GP","MIN","PTS","FGM","FGA","FG.","X3P.Made","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","STL","BLK","TOV","TARGET_5Yrs","Year_Drafted","Team","Win_Perc","Year_Debut","Round_Drafted_1","Round_Drafted_2","Round_Drafted_3","Round_Drafted_4","Round_Drafted_5","Round_Drafted_6","Round_Drafted_7","Round_Drafted_8","Round_Drafted_10","Round_Drafted_Undrafted","Position_Center","Position_Point guard","Position_Power forward","Position_Shooting guard","Position_Small forward"
"Sam Bowie",76,29.2,10,3.9,7.3,53.7,0,0,0,2.1,3,71.1,2.7,5.9,8.6,2.8,0.7,2.7,2.3,1,1984,"Portland Trail Blazers",0.512,1984,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Charles Barkley*",82,28.6,14,5.2,9.5,54.5,0,0.1,16.7,3.6,4.9,73.3,3.2,5.3,8.6,1.9,1.2,1,2.5,1,1984,"Philadelphia 76ers",0.707,1984,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sam Perkins",82,28.3,11,4.2,9,47.1,0.1,0.4,25,2.4,3,82,2.3,5.1,7.4,1.6,0.8,0.8,1.2,1,1984,"Dallas Mavericks",0.537,1984,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Jay Humphries",80,25.8,8.8,3.5,7.8,44.6,0.1,0.3,20,1.8,2.1,82.9,0.4,1.7,2.1,4.4,1.3,0.1,2.1,1,1984,"Phoenix Suns",0.439,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Melvin Turpin",79,24.7,10.6,4.6,9,51.1,0,0,NA,1.4,1.8,78.4,2,3.8,5.7,0.5,0.5,1.1,1.5,1,1984,"Washington Wizards",0.488,1984,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otis Thorpe",82,23.4,12.8,5,8.4,60,0,0,0,2.8,4.5,62,2.3,4.5,6.8,1.4,0.4,0.5,2.3,1,1984,"Sacramento Kings",0.378,1984,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Kevin Willis",82,21.8,9.3,3.9,8.4,46.7,0,0.1,22.2,1.5,2.2,65.7,2.2,4.2,6.4,0.4,0.4,0.6,1.3,1,1984,"Atlanta Hawks",0.415,1984,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Michael Cage",75,21.5,7.1,2.9,5.3,54.3,0,0,0,1.3,1.8,73.7,1.7,3.5,5.2,0.7,0.6,0.4,1.1,1,1984,"Los Angeles Clippers",0.378,1984,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Alvin Robertson",79,21.3,9.2,3.8,7.6,49.8,0.1,0.1,36.4,1.6,2.1,73.4,1.5,1.9,3.4,3.5,1.6,0.3,2.1,1,1984,"San Antonio Spurs",0.5,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tim McCormick",78,20.3,9.3,3.4,6.2,55.7,0,0,0,2.4,3.4,71.5,1.9,3.2,5.1,1,0.2,0.4,1.5,1,1984,"Cleveland Cavaliers",0.439,1984,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Charles Alexander Jones",78,20.1,8.4,3,5.8,52,0,0.1,0,2.3,3.6,64.8,1.8,3.3,5.1,1.6,0.6,0.8,1.8,0,1984,"Phoenix Suns",0.439,1984,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Charles Rahmel Jones",29,16.4,3.7,1.3,4.2,31.7,0.7,2.1,31.1,0.4,0.8,50,0.3,1.1,1.4,1.4,0.6,0.2,1,0,1988,"Chicago Bulls",0.207,1999,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Jeff Turner",72,19.8,5.8,2.4,5.2,45.4,0,0,0,1.1,1.3,85.9,1.2,1.8,3,1.5,0.4,0.1,1.3,1,1984,"Brooklyn Nets",0.512,1984,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tony Brown",82,19.3,6.6,2.6,5.7,46,0,0.1,0,1.4,2.1,67.8,1.8,1.7,3.5,1.9,0.7,0.1,1.4,1,1982,"Indiana Pacers",0.268,1984,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Antoine Carr",62,19.3,8,3.2,6,52.8,0,0.1,33.3,1.6,2.1,78.9,1.3,2.5,3.7,1.3,0.5,1.3,1.7,1,1983,"Detroit Pistons",0.598,1983,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Steve Colter",78,18.7,7.1,2.8,6.1,45.3,0.3,0.9,35.1,1.3,1.7,75.4,0.5,1.4,1.9,3.1,1,0.1,1.4,1,1984,"Portland Trail Blazers",0.512,1984,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ken Bannister",75,18.7,6.8,2.8,5.9,47,0,0,0,1.2,2.6,47.4,1.4,3,4.4,0.5,0.5,0.5,1.9,1,1984,"New York Knicks",0.293,1984,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"John Stockton*",82,18.2,5.6,1.9,4.1,47.1,0,0.1,18.2,1.7,2.4,73.6,0.3,1,1.3,5.1,1.3,0.1,1.8,1,1984,"Utah Jazz",0.5,1984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Terence Stansbury",74,17.3,7.1,2.8,6.2,45.9,0.1,0.3,16,1.4,1.7,81,0.5,1,1.5,1.7,0.6,0.2,1.1,0,1984,"Dallas Mavericks",0.537,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Othell Wilson",74,17,4.4,1.8,3.9,46,0,0.2,18.8,0.7,1,71.1,0.5,1.3,1.8,2.9,1,0.2,1.3,0,1984,"Golden State Warriors",0.268,1984,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Eddie Lee Wilkins",54,17,5.5,2.1,4.3,49.8,0,0,0,1.2,2.3,54.1,1.6,3.3,4.9,0.3,0.4,0.3,1.2,1,1984,"New York Knicks",0.293,1984,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Chuck Aleksinas",74,15.1,5.1,2.2,4.6,47.8,0,0,0,0.7,1,73.3,1.2,2.5,3.6,0.5,0.2,0.2,1,0,1982,"Chicago Bulls",0.341,1982,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Ron Anderson",36,14.4,5.8,2.3,5.4,43.1,0,0.1,50,1.1,1.4,82,1.1,1.4,2.4,0.9,0.3,0.2,0.9,1,1984,"Cleveland Cavaliers",0.439,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Frank Brickowski",78,14.3,4.9,1.9,3.9,49.2,0,0.1,0,1.1,1.6,66.9,1,2.4,3.3,1.3,0.4,0.2,1.3,1,1981,"New York Knicks",0.402,1981,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Ozell Jones",67,13.3,3.7,1.6,2.7,58.9,0,0,0,0.5,1.2,39.8,1,2.6,3.6,0.8,0.5,0.8,0.9,0,1984,"San Antonio Spurs",0.5,1984,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Devin Durrant",59,12.8,5.1,1.9,4.6,41.6,0,0.1,0,1.2,1.7,70.6,0.8,1.3,2.1,1.4,0.3,0.2,1.3,0,1984,"Indiana Pacers",0.268,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jerome Kersey",77,12.4,6.1,2.3,4.8,47.8,0,0,0,1.5,2.4,64.6,1.2,1.4,2.7,0.8,0.6,0.4,0.9,1,1984,"Portland Trail Blazers",0.512,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ron Cavenall",53,12.3,1.5,0.5,1.6,32.6,0,0,0,0.4,0.7,56.4,1,2.1,3.1,0.4,0.2,0.8,0.8,0,1981,"New York Knicks",0.293,1984,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Jim Petersen",60,11.9,3.2,1.2,2.4,48.6,0,0,NA,0.8,1.1,75.8,0.7,1.7,2.5,0.5,0.2,0.5,1.2,1,1984,"Houston Rockets",0.585,1984,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Tony Campbell",56,11.2,5.6,2.3,4.7,49.6,0,0,0,1,1.3,80,0.7,0.9,1.6,0.4,0.5,0.1,1.2,1,1984,"Detroit Pistons",0.561,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lancaster Gordon",63,10.8,4.1,1.7,4.6,38.3,0,0.1,22.2,0.6,0.8,75.5,0.4,0.6,1,1.4,0.5,0.1,1.1,0,1984,"Los Angeles Clippers",0.378,1984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gary Plummer",66,10.6,3.8,1.4,3.5,39.7,0,0.1,25,1,1.4,70.7,0.8,1.2,2,0.4,0.2,0.2,0.8,0,1984,"Golden State Warriors",0.268,1984,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Kenny Fields",51,10.5,3.8,1.6,3.7,44,0,0,0,0.5,0.7,75,0.8,0.8,1.6,0.7,0.2,0.2,0.6,0,1984,"Milwaukee Bucks",0.72,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cory Blackwell",60,9.2,3.4,1.5,4,36.7,0,0,0,0.5,0.9,50.9,0.7,0.9,1.6,0.4,0.4,0.1,0.7,0,1984,"Oklahoma City Thunder",0.378,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bernard Thompson",59,9.1,3.3,1.3,3.6,37.3,0,0.1,0,0.7,0.9,76.5,0.6,0.7,1.3,0.9,0.5,0.2,0.6,1,1984,"Portland Trail Blazers",0.512,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Peter Thibeaux",51,9,4.5,1.8,3.8,48.2,0,0,0,0.8,1.3,64.2,0.6,0.8,1.4,0.3,0.2,0.3,0.7,0,1983,"Golden State Warriors",0.451,1983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Steve Burtt",47,8.9,4.2,1.5,4,38.3,0,0,0,1.1,1.6,68.8,0.2,0.4,0.6,0.4,0.5,0.1,0.7,0,1984,"Golden State Warriors",0.268,1984,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Leon Wood",38,7.1,3.2,1.3,3.5,37.3,0.1,0.8,13.3,0.5,0.7,69.2,0.1,0.4,0.5,1.2,0.2,0,0.7,1,1984,"Philadelphia 76ers",0.707,1984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Charlie Sitton",43,7.1,2.1,0.9,2.2,41.5,0,0,0,0.3,0.6,52,0.6,0.8,1.4,0.6,0.2,0.1,0.4,0,1984,"Dallas Mavericks",0.537,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tom Scheffler",39,6.9,1.3,0.5,1.3,41.2,0,0,NA,0.3,0.5,50,0.5,1.5,1.9,0.3,0.2,0.3,0.4,0,1977,"Indiana Pacers",0.378,1977,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Willie White",39,6,3.3,1.3,3.2,41.9,0.1,0.3,36.4,0.5,0.8,67.7,0.4,0.5,0.9,0.7,0.1,0.1,0.8,0,1984,"Denver Nuggets",0.634,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Rick Carlisle",38,4.7,1.8,0.7,1.8,38.8,0,0.1,0,0.4,0.4,88.2,0.2,0.3,0.6,0.7,0.1,0,0.5,1,1984,"Boston Celtics",0.768,1984,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Ralph Sampson*",82,32.8,21,8.7,16.7,52.3,0,0,25,3.5,5.3,66.1,3.6,7.6,11.1,2,0.8,2.4,3.6,1,1983,"Houston Rockets",0.354,1983,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Steve Stipanovich",81,30,12,4.8,10.1,48,0,0.2,18.8,2.3,3,75.3,1.4,5.5,6.9,2.1,0.9,0.8,2,1,1983,"Indiana Pacers",0.317,1983,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ennis Whatley",80,27,8.4,3.3,7,46.9,0,0,0,1.8,2.5,73,0.8,1.7,2.5,8.3,1.5,0.2,3.4,1,1983,"Sacramento Kings",0.463,1983,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rodney McCray",79,26.3,10.8,4.2,8.5,49.9,0,0.1,25,2.3,3.2,73.1,2.2,3.5,5.7,2.2,0.7,0.7,1.5,1,1983,"Houston Rockets",0.354,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Anthony Bonner",52,12.8,4.2,1.5,4.3,35.6,0.3,1,24.5,0.8,1.3,63.8,0.9,2,3,0.3,0.4,0.1,0.9,1,1990,"Sacramento Kings",0.305,1990,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mitchell Wiggins",82,25.9,12.4,4.9,10.9,44.8,0.1,0.4,24.1,2.6,3.5,74.2,1.7,2.3,4,2.3,1.3,0.1,1.7,1,1983,"Indiana Pacers",0.317,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Thurl Bailey",81,24.8,8.5,3.7,7.3,51.2,0,0,0,1.1,1.4,75.2,1.4,4.3,5.7,1.6,0.5,1.5,1.3,1,1983,"Utah Jazz",0.549,1983,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Jeff Malone",81,24.4,12.1,5,11.3,44.4,0.3,0.9,32.4,1.8,2.1,82.6,0.7,1.2,1.9,1.9,0.3,0.2,1.4,1,1983,"Washington Wizards",0.427,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Doc Rivers",81,23.9,9.3,3.1,6.7,46.2,0,0.1,16.7,3.1,4,78.5,0.9,1.8,2.7,3.9,1.6,0.4,2.1,1,1983,"Atlanta Hawks",0.488,1983,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Roy Hinson",80,23.2,5.5,2.3,4.6,49.6,0,0,0,0.9,1.5,59,2.2,4.1,6.2,0.9,0.4,1.8,1.4,1,1983,"Cleveland Cavaliers",0.341,1983,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Byron Scott",74,22.1,10.6,4.5,9.3,48.4,0.1,0.5,23.5,1.5,1.9,80.6,0.7,1.5,2.2,2.4,1.1,0.3,1.6,1,1983,"Los Angeles Clippers",0.366,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Paul Thompson",82,21.1,9,3.8,8.1,46.7,0.1,0.5,23.1,1.4,1.8,77.2,1.5,2.3,3.8,1.5,0.8,0.5,0.9,0,1983,"Cleveland Cavaliers",0.341,1983,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Derek Harper",82,20.9,5.7,2.4,5.5,44.3,0,0.3,11.5,0.8,1.2,67.3,0.6,1.5,2.1,2.9,1.2,0.3,1.4,1,1983,"Dallas Mavericks",0.524,1983,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Fred Roberts",79,19.4,7.3,2.7,5.1,53.6,0,0.1,25,1.8,2.2,83.7,1.3,2.6,3.8,1.2,0.7,0.5,1.3,1,1982,"Milwaukee Bucks",0.622,1982,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rod Foster",80,17.8,8.3,3.3,7.3,44.8,0.3,1.1,26.2,1.5,1.9,78.7,0.5,1,1.5,2.2,0.7,0.1,1.4,0,1983,"Phoenix Suns",0.5,1983,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Dewayne Dedmon",31,12.6,3.1,1.2,2.7,45.8,0,0,0,0.7,1,65.6,1.2,2.9,4.1,0.2,0.2,0.7,0.6,1,2013,"Golden State Warriors",0.622,2013,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Jon Sundvold",73,17.6,6.9,3,6.7,44.5,0.1,0.5,24.3,0.9,1,88.9,0.3,0.9,1.2,3.3,0.4,0,1.1,1,1983,"Oklahoma City Thunder",0.512,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Clyde Drexler*",82,17.2,7.7,3.1,6.8,45.1,0,0,25,1.5,2.1,72.8,1.4,1.5,2.9,1.9,1.3,0.3,1.5,1,1983,"Portland Trail Blazers",0.585,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Jim Thomas",72,16.9,6.3,2.6,5.6,46.4,0,0.2,9.1,1.1,1.5,72.7,0.8,1.3,2.1,1.8,0.8,0.1,1,0,1983,"Indiana Pacers",0.317,1983,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Darrell Walker",82,16.1,7.9,2.6,6.3,41.7,0,0.2,26.7,2.5,3.2,79.1,0.9,1.1,2,3.5,1.6,0.2,2.4,1,1983,"New York Knicks",0.573,1983,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sidney Lowe",78,15.9,4.2,1.4,3.3,41.3,0,0.2,11.1,1.4,1.8,77.7,0.4,1.2,1.6,3.4,1.2,0.1,1.4,0,1983,"Chicago Bulls",0.329,1983,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Dale Ellis",67,15.8,8.2,3.4,7.4,45.6,0.2,0.4,41.4,1.3,1.8,71.9,1.6,2.1,3.7,0.8,0.6,0.1,1.2,1,1983,"Dallas Mavericks",0.524,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Darren Daye",75,15.7,6.1,2.4,5.4,44.1,0,0.1,0,1.3,1.8,71.4,1.2,1.3,2.5,2.3,0.5,0.2,1.3,1,1983,"Washington Wizards",0.427,1983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Randy Wittman",78,13.7,4.5,2.1,4.1,50.3,0,0.1,40,0.4,0.6,60.9,0.2,0.7,0.9,0.9,0.2,0,0.4,1,1983,"Washington Wizards",0.427,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Sidney Green",49,13.6,5.2,2,4.7,43.9,0,0,0,1.1,1.6,71.4,1.2,2.4,3.6,0.5,0.4,0.3,1.2,1,1983,"Chicago Bulls",0.329,1983,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Granville Waiters",78,13.3,3.6,1.6,3.1,51.7,0,0,0,0.4,0.7,60.8,0.8,2.1,2.9,0.8,0.3,1.1,0.8,1,1983,"Portland Trail Blazers",0.585,1983,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"C.J. McCollum",38,12.5,5.3,1.9,4.7,41.6,0.8,2.1,37.5,0.6,0.9,67.6,0.2,1.1,1.3,0.7,0.4,0.1,0.9,0,2013,"Portland Trail Blazers",0.659,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Howard Carter",55,12.5,6.2,2.6,5.7,45.9,0.1,0.3,26.3,0.9,1.1,77,0.7,0.9,1.6,1.3,0.3,0.1,0.8,0,1983,"Denver Nuggets",0.463,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Dane Suttle",40,11.7,6.5,2.7,5.4,50.9,0,0.1,0,1,1.2,85.1,0.5,0.6,1.2,1.2,0.5,0,0.8,0,1983,"Sacramento Kings",0.463,1983,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Scooter McCray",47,11.1,2.7,1,2.6,38.8,0,0,0,0.7,1.1,70,1,1.5,2.4,0.9,0.2,0.4,0.7,0,1983,"Oklahoma City Thunder",0.512,1983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sedale Threatt",45,10.3,3.3,1.4,3.3,41.9,0,0.2,12.5,0.5,0.6,82.1,0.4,0.5,0.9,0.9,0.3,0,0.7,1,1983,"Philadelphia 76ers",0.634,1983,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"John Paxson",49,9.3,2.9,1.2,2.8,44.5,0.1,0.4,18.2,0.3,0.5,61.5,0.1,0.6,0.7,3,0.2,0,0.7,1,1983,"San Antonio Spurs",0.451,1983,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Leroy Combs",48,9.3,4.5,1.7,3.4,49.7,0,0.1,0,1.2,1.9,61.5,0.4,0.8,1.2,0.8,0.5,0.4,1,0,1983,"Indiana Pacers",0.317,1983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Larry Micheaux",39,8.5,3.1,1.3,2.3,54.4,0,0,0,0.5,1,53.8,1,1.9,2.9,0.5,0.5,0.3,0.5,0,1983,"Chicago Bulls",0.329,1983,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Randy Breuer",57,8.3,2.9,1.2,3.1,38.4,0,0,0,0.6,0.8,69.6,0.8,1.1,1.9,0.3,0.2,0.7,0.6,1,1983,"Milwaukee Bucks",0.61,1983,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pace Mannion",57,8.2,2.1,0.9,2.2,39.7,0.1,0.2,23.1,0.3,0.4,78.3,0.4,0.6,1,0.8,0.4,0,0.4,1,1983,"Golden State Warriors",0.451,1983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Kris Dunn",33,16.9,4.1,1.5,4.1,37.3,0.3,0.9,29,0.8,1.2,62.5,0.4,1.9,2.2,2.4,1,0.3,1.2,0,2016,"Minnesota Timberwolves",0.378,2016,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Robbie Hummel",53,12.4,3.4,1.3,3.3,37.9,0.6,1.7,36,0.3,0.3,93.8,0.7,1.8,2.5,0.4,0.3,0,0.2,0,2012,"Minnesota Timberwolves",0.378,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bruce Kuczenski",15,7.9,1.9,0.7,2.5,27,0,0,0,0.5,0.8,66.7,0.5,1.1,1.5,0.5,0.1,0.1,1,0,1983,"Brooklyn Nets",0.549,1983,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Russell Cross",45,7.9,3.7,1.4,2.5,57.1,0,0,0,0.8,2,41.8,0.8,1,1.8,0.5,0.3,0.2,0.4,0,1983,"Golden State Warriors",0.451,1983,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bob Hansen",55,7.6,2.7,1.2,2.6,44.8,0,0.1,0,0.3,0.5,64.3,0.2,0.6,0.9,0.8,0.3,0.1,0.6,1,1983,"Utah Jazz",0.549,1983,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Greg Kite",35,5.6,1.9,0.9,1.9,45.5,0,0,0,0.1,0.5,31.3,0.8,1,1.8,0.2,0,0.1,0.6,1,1983,"Boston Celtics",0.756,1983,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Terry Cummings",70,36.2,23.7,9.8,18.7,52.3,0,0,0,4.2,5.9,70.9,4.3,6.3,10.6,2.5,1.8,0.9,2.9,1,1982,"Los Angeles Clippers",0.305,1982,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Clark Kellogg",81,34.1,20.1,8.4,17.5,47.9,0,0.2,22.2,3.2,4.3,74.1,4.2,6.4,10.6,2.8,1.7,0.5,2.7,1,1982,"Indiana Pacers",0.244,1982,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Quintin Dailey",76,27.4,15.1,6.2,13.3,46.6,0.1,0.3,20,2.7,3.7,73,1.1,2.3,3.4,3.7,0.9,0.1,2.7,1,1982,"Chicago Bulls",0.341,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Rod Higgins",82,26.8,10.3,3.8,8.5,44.8,0.2,0.5,31.7,2.5,3.2,79.2,1.9,2.5,4.5,2.1,0.8,0.8,1.6,1,1982,"Chicago Bulls",0.341,1982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Craig Hodges",76,26.6,9.9,4.2,9.3,45.2,0.3,1.2,22.2,1.2,1.7,72.3,0.7,0.9,1.6,3.6,1.1,0.1,2.1,1,1982,"Los Angeles Clippers",0.305,1982,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Jeff Withey",58,11.8,3.3,1.2,2.2,53.5,0,0,0,0.9,1.3,71.2,0.8,1.7,2.6,0.4,0.3,0.9,0.3,0,2013,"Portland Trail Blazers",0.659,2013,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"James Worthy*",77,25.6,13.4,5.8,10,57.9,0,0.1,25,1.8,2.9,62.4,2,3.1,5.2,1.7,1.2,0.8,2.3,1,1982,"Los Angeles Lakers",0.707,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Trent Tucker",78,23.5,8.4,3.8,8.3,46.2,0.2,0.4,46.7,0.6,0.8,67.2,1,1.8,2.8,2.5,0.7,0.1,0.9,1,1982,"New York Knicks",0.537,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Terry Teagle",73,23.4,10.4,4.5,10.6,42.8,0.1,0.4,34.5,1.2,1.7,69.6,1,1.6,2.7,2.1,0.7,0.3,1.9,1,1982,"Houston Rockets",0.171,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Marc Iavaroni",80,20.2,5.1,2,4.4,46.2,0,0,0,1,1.4,69,1.5,2.7,4.1,1,0.4,0.6,1.7,1,1978,"New York Knicks",0.378,1978,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Ed Nealy",82,20,4.4,1.8,3,59.5,0,0,0,0.9,1.4,61.4,2.1,3.8,5.9,0.8,0.8,0.1,0.6,1,1982,"Sacramento Kings",0.549,1982,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Rob Williams",74,19.5,7,2.6,6.3,40.8,0,0.2,13.3,1.8,2.4,75.3,0.5,1.3,1.8,4.9,1.2,0.2,2.5,0,1982,"Denver Nuggets",0.549,1982,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Jerry Eaves",82,19.4,9.3,3.4,7,48.7,0,0.1,12.5,2.4,3,81,0.4,1.1,1.5,2.6,0.6,0,1.9,0,1982,"Utah Jazz",0.366,1982,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Paul Pressey",79,19.3,6.7,2.7,5.9,45.7,0,0.1,11.1,1.3,2.2,59.7,1.1,2.5,3.6,2.6,1.3,0.6,2,1,1982,"Milwaukee Bucks",0.622,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Brandon Davies",51,11.3,2.8,1.1,2.5,42.2,0,0.2,20,0.7,1,64.2,0.7,1.4,2.1,0.5,0.5,0.2,0.7,0,2013,"Philadelphia 76ers",0.232,2013,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Lester Conner",75,18.9,4.9,1.9,4,47.9,0,0.1,0,1.1,1.5,69.9,0.9,2,2.9,3.4,1.6,0.1,1.3,1,1982,"Golden State Warriors",0.366,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mark Eaton",81,18.9,4.3,1.8,4.4,41.4,0,0,0,0.7,1.1,65.6,1.1,4.6,5.7,1.4,0.3,3.4,1.7,1,1982,"Utah Jazz",0.366,1982,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Bill Garnett",75,18.8,6.3,2.3,4.3,53.3,0,0,0,1.7,2.3,74.1,1.9,3.5,5.4,1.4,0.6,0.9,1.1,0,1982,"Dallas Mavericks",0.463,1982,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Jeff Taylor Sr",44,17.6,3.6,1.5,3.6,40,0,0,0,0.7,1,65.2,0.6,1.2,1.8,2.5,0.9,0.3,1.4,0,1982,"Houston Rockets",0.171,1982,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Jeff Taylor Jr",77,19.6,6.1,2.2,5.2,43.1,0.7,2,34.4,1,1.3,72.8,0.7,1.3,1.9,0.8,0.6,0.2,0.6,0,2012,"Charlotte Hornets",0.256,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bryan Warrick",43,16.9,4,1.5,4,38,0,0.1,0,1,1.3,73.7,0.3,1.3,1.6,2.9,0.5,0.2,1.6,0,1982,"Washington Wizards",0.512,1982,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
